entree,intention,Intention1,Compréhension,Qualité réponse,Remarques / améliorations
Bonjour je suis en terminale scientifique. Que puis-je faire comme études ?,recherche_formation,recherche_formation,Oui,Bonne,L’assistant a compris le besoin et propose options adaptées selon profil scientifique
"pas vraiment, fais moi des propositions",recherche_formation,Obtenir suggestions concrètes,Oui,Bonne,"Réponses pertinentes, adaptées au niveau et aux compétences supposées"
et si je ne souhaite plus étudier ?,recherche_emploi,centre_interet,Oui,Bonne,"Pose des questions pour clarifier, mais certaines répétitions"
je n'ai pas assez d'argent pour l'instant donc je veux faire de petis jobs pendant un an avant de reprendre les études. Que me conseille tu?,recherche_emploi,recherche_formation,Oui,Bonne,"Réponses pertinentes, mais manque parfois de ressources locales concrètes"
couture ou tresse ou aide maçon,info_interet,Confirmer choix métiers manuels,Partiellement,Moyenne,L’assistant répète certaines questions plutôt que de fournir conseils précis
je t'ai déjà dit que je veux faire de la couture ou tresse ou l'aide maçon,info_interet,Rappeler choix métiers,Partiellement,Moyenne,"Répétition inutile, pourrait proposer des formations ou contacts concrets"
ok où puis je apprendre la couture?,recherche_centre,Obtenir centres de formation,Partiellement,Moyenne,"Propose options générales et formations en ligne, manque noms locaux précis"
Quel sont les centres de formation ?,recherche_centre,Obtenir centres spécifiques,Non,Faible,L’assistant ne fournit pas de liste exacte ni contacts
cite moi ces centres de formation,recherche_centre,Liste précise de centres,Non,Faible,Répète les mêmes conseils généraux
je veux une liste,precision,Liste concrète demandée,Non,Faible,Même problème : informations concrètes manquantes
Je viens d'avoir mon bac littéraire mais je ne sais vers quoi me diriger à l'université,recherche_formation,Orientation universitaire,Oui,Bonne,"Encourage réflexion sur passions et matières, suggère options adaptées"
"langue, art oratoire",info_interet,Préciser intérêts,Oui,Très bonne,"Propose filières lettres modernes, linguistique, rhétorique et communication"
c'est quoi la philologie ?,recherche_info,Comprendre un domaine spécifique,Oui,Très bonne,"Définition détaillée, applications professionnelles claires"
cette option est elle disponible au togo?,recherche_info,Vérifier disponibilité locale,Oui,Bonne,"Donne universités potentielles, manque contacts précis"
oui,precision,Confirmer recherche,Oui,Moyenne,"Réponse courte, pourrait clarifier intention réelle"
je suis interesé par le droit,info_interet,Changement de filière,Oui,Bonne,"Détail sur cursus, spécialisations et débouchés locaux"
quels sont les sources que tu as utilisé pour répondre?,recherche_info,Vérification fiabilité,Oui,Bonne,"Explications sur sources générales, mais pas spécifiques locales"
Bonjour Djom,salutation,Salutation / démarrer interaction,Oui,Bonne,Réponse polie et engageante
Non je viens d'obtenir mon Bac D mais je ne sais quoi faire,recherche_formation,Orientation après Bac D,Oui,Bonne,"Pose questions pour clarifier, explore options métiers et formations"
je n'ai plus envie d'étudier je veux travailler,recherche_emploi,Chercher alternatives à études,Oui,Bonne,Propose métiers adaptés selon compétences
j'ai des compétneces en bureautique,info_interet,Préciser compétences pour métiers,Oui,Bonne,Aide à cibler métiers liés au bureau et à la gestion
Ok je choisi l'Assistant de direction,recherche_formation,Choix précis de métier,Oui,Très bonne,Fournit formations et établissements correspondants
Waoo c'est intéressant donne moi plus d'info sur CIN INTA SOKODE,recherche_info,Obtenir détails sur établissement,Oui,Très bonne,"Donne programme, avantages, contacts"
"et si je veux mz former à la sécurité, santé au travail?",recherche_formation,Explorer filière SST,Oui,Très bonne,"Explications licences, master, compétences et débouchés"
où trouver cette formation?,recherche_centre,Rechercher établissements SST,Oui,Très bonne,Fournit noms d’institutions et liens locaux
Et l'IFOMESS?,recherche_info,Vérifier établissement spécifique,Oui,Très bonne,Confirme existence et propose informations pratiques
les instituts qui forment en Sécurité et la Santé au Travail,recherche_centre,Lister instituts SST,Oui,Très bonne,"Donne noms d’institutions, contacts et options locales"
Bonsoir Djom,salutation,Salutation / démarrer interaction,Oui,Bonne,Réponse engageante
je viens d'obtenir mon bac D et je suis intéressé par la Sécurité et Santé au Travail,info_interet,Orientation SST,Oui,Très bonne,Analyse profil et propose options formation adaptées
Où puis je me former à ça?,recherche_centre,Rechercher établissement SST,Oui,Très bonne,Liste institutions locales et internationales
Il n' y a pas d'autres institut à lomé aui offrent ça?,recherche_centre,Vérifier autres options locales,Oui,Bonne,"Propose alternatives, manque parfois contacts précis"
Connais tu ifomess?,recherche_info,Vérification institut spécifique,Oui,Très bonne,Informations pratiques sur IFOMESS et filières proposées
quelles autres formations offrent ils?,recherche_info,Explorer autres formations IFOMESS,Oui,Très bonne,Détaille programmes complémentaires et spécialisations
D'accord. merci,precision,Clôturer / remercier,Oui,Bonne,Réponse polie et engageante
Et esgis ou Ucao?,recherche_info,Explorer autres institutions SST,Oui,Très bonne,Donne informations sur ESGIS et UCAO et programmes SST
c'est vrai ça?,recherche_info,Vérification information,Oui,Bonne,"Confirme informations précédentes, assure cohérence"
